65,150,3,1,1,0,350
65,150,3,1,2,0,500
105,250,5,2,1,0,550
105,250,5,2,2,0,750
125,350,6,2,1,1,850
125,350,6,2,2,1,1200
35,0,2,1,1,0,200
35,0,2,1,2,0,350
95,200,4,1,1,0,500
95,200,4,1,2,0,700
65,120,3,2,1,0,350
65,120,3,2,2,0,500
170,450,9,4,1,1,1000
170,450,9,4,2,1,1500
65,0,2,1,1,0,250
65,0,2,1,2,0,400
125,300,5,2,1,0,650
125,300,5,2,2,0,900
54,75,3,1,1,0,300
54,75,3,1,2,0,450
105,180,4,2,1,1,550
105,180,4,2,2,1,800
65,160,3,1,1,0,400
65,160,3,1,2,0,600
230,450,10,5,1,1,1200
230,450,10,5,2,1,1650
45,50,2,1,1,0,250
45,50,2,1,2,0,400
125,250,6,3,1,0,600
125,250,6,3,2,0,850
105,200,4,2,1,1,600
105,200,4,2,2,1,900
65,300,5,2,1,0,600
65,300,5,2,2,0,850
35,30,2,1,1,0,200
35,30,2,1,2,0,350
150,350,7,3,1,0,850
150,350,7,3,2,0,1150
80,160,4,2,1,1,500
80,160,4,2,2,1,750
65,180,3,1,1,0,450
65,180,3,1,2,0,650
125,400,8,4,1,1,950
125,400,8,4,2,1,1350
50,100,2,1,1,0,300
50,100,2,1,2,0,450
105,320,6,2,1,0,700
105,320,6,2,2,0,1000
65,220,4,2,1,1,550
65,220,4,2,2,1,800
125,0,4,2,1,0,350
125,0,4,2,2,0,500
105,450,9,3,1,1,1000
105,450,9,3,2,1,1450
65,75,3,1,1,0,300
65,75,3,1,2,0,450
125,200,5,2,1,0,550
125,200,5,2,2,0,800
105,150,4,2,1,1,500
105,150,4,2,2,1,750
65,120,3,1,1,0,350
65,120,3,1,2,0,500
125,300,6,2,1,1,750
125,300,6,2,2,1,1100
35,0,1,1,1,0,150
35,0,1,1,2,0,300
95,180,4,2,1,0,450
95,180,4,2,2,0,650
105,250,5,3,1,1,650
105,250,5,3,2,1,950
65,350,6,2,1,0,700
65,350,6,2,2,0,950
125,450,10,4,1,1,1100
125,450,10,4,2,1,1600
45,100,2,2,1,0,300
45,100,2,2,2,0,450
105,220,5,2,1,0,550
105,220,5,2,2,0,800
65,200,4,2,1,1,500
65,200,4,2,2,1,750
125,250,6,2,1,0,600
125,250,6,2,2,0,850
35,50,2,1,1,0,250
35,50,2,1,2,0,400
150,400,8,4,1,1,1000
150,400,8,4,2,1,1400
65,150,3,1,1,1,450
65,150,3,1,2,1,650
105,300,6,2,1,0,700
105,300,6,2,2,0,950
125,180,4,2,1,0,500
125,180,4,2,2,0,700
65,450,8,3,1,1,950
65,450,8,3,2,1,1350
105,120,4,2,1,0,400
105,120,4,2,2,0,600
125,350,7,2,1,0,800
125,350,7,2,2,0,1100
45,0,2,1,1,0,200
45,0,2,1,2,0,350
