2,24,5.6,12,1,4,AMD Ryzen 9 7900X
1,32,6.0,24,1,1,Intel Core i9-14900K
1,8,4.3,4,2,1,Intel Core i3-12100
2,32,5.7,16,1,4,AMD Ryzen 9 9950X
2,12,5.4,6,1,4,AMD Ryzen 5 7600X
1,24,5.8,24,1,2,Intel Core Ultra 9 285K
1,24,5.8,24,1,2,Intel Core Ultra 9 285K
1,12,4.4,6,2,3,Intel Core i5-11400
1,8,4.3,4,2,1,Intel Core i3-12100
2,12,5.4,6,1,4,AMD Ryzen 5 7600X
1,24,5.7,24,1,2,Intel Core Ultra 9 285K
2,16,5.0,8,1,4,AMD Ryzen 7 7800X3D
2,24,5.6,12,1,4,AMD Ryzen 9 7900X
2,16,4.5,8,1,5,AMD Ryzen 7 5700X
2,32,4.9,16,1,5,AMD Ryzen 9 5950X
1,32,6.0,24,1,1,Intel Core i9-14900K
2,12,5.3,6,1,4,AMD Ryzen 5 7600X
2,16,5.0,8,1,4,AMD Ryzen 7 7800X3D
2,32,5.7,16,1,4,AMD Ryzen 9 9950X
1,20,5.6,20,1,2,Intel Core Ultra 7 265K
1,12,4.5,6,2,3,Intel Core i5-11400
2,16,4.5,8,1,5,AMD Ryzen 7 5700X
2,12,4.5,6,1,5,AMD Ryzen 5 5600
1,20,5.6,20,1,2,Intel Core Ultra 7 265K
2,12,4.5,6,1,5,AMD Ryzen 5 5600
1,20,5.6,20,1,2,Intel Core Ultra 7 265K
2,16,5.0,8,1,4,AMD Ryzen 7 7800X3D
2,12,5.3,6,1,4,AMD Ryzen 5 7600X
2,32,5.7,16,1,4,AMD Ryzen 9 9950X
1,24,5.7,24,1,2,Intel Core Ultra 9 285K
1,32,6.0,24,1,1,Intel Core i9-14900K
2,24,5.6,12,1,4,AMD Ryzen 9 7900X
1,8,4.2,4,2,1,Intel Core i3-12100
2,32,4.9,16,1,5,AMD Ryzen 9 5950X
1,24,5.3,16,1,1,Intel Core i7-13700K
2,16,4.7,8,1,5,AMD Ryzen 7 5700X
1,20,5.5,20,1,2,Intel Core Ultra 7 265K
1,24,5.4,16,1,1,Intel Core i7-13700K
2,32,5.7,16,1,4,AMD Ryzen 9 9950X
2,12,4.3,6,1,5,AMD Ryzen 5 5600
1,24,5.4,16,1,1,Intel Core i7-13700K
1,20,5.5,20,1,2,Intel Core Ultra 7 265K
1,24,5.4,16,1,1,Intel Core i7-13700K
1,20,5.6,20,1,2,Intel Core Ultra 7 265K
2,24,5.5,12,1,4,AMD Ryzen 9 7900X
1,8,4.3,4,2,1,Intel Core i3-12100
2,32,5.6,16,1,4,AMD Ryzen 9 9950X
1,32,6.1,24,1,1,Intel Core i9-14900K
2,32,5.7,16,1,4,AMD Ryzen 9 9950X
2,24,5.6,12,1,4,AMD Ryzen 9 7900X
1,12,4.5,6,2,3,Intel Core i5-11400
1,12,4.5,6,1,1,Intel Core i5-12400F
2,16,4.9,8,1,4,AMD Ryzen 7 7800X3D
2,32,4.8,16,1,5,AMD Ryzen 9 5950X
1,24,5.5,16,1,1,Intel Core i7-13700K
1,32,6.1,24,1,1,Intel Core i9-14900K
2,32,5.7,16,1,4,AMD Ryzen 9 9950X
2,16,4.6,8,1,5,AMD Ryzen 7 5700X
1,24,5.8,24,1,2,Intel Core Ultra 9 285K
2,32,4.9,16,1,5,AMD Ryzen 9 5950X
1,12,4.4,6,2,3,Intel Core i5-11400
1,24,5.4,16,1,1,Intel Core i7-13700K
1,32,5.9,24,1,1,Intel Core i9-14900K
1,8,4.4,4,2,1,Intel Core i3-12100
1,20,5.6,20,1,2,Intel Core Ultra 7 265K
1,32,5.9,24,1,1,Intel Core i9-14900K
1,12,4.3,6,2,3,Intel Core i5-11400
1,12,4.4,6,1,1,Intel Core i5-12400F
2,12,5.3,6,1,4,AMD Ryzen 5 7600X
2,24,5.6,12,1,4,AMD Ryzen 9 7900X
1,24,5.6,24,1,2,Intel Core Ultra 9 285K
2,16,5.1,8,1,4,AMD Ryzen 7 7800X3D
1,24,5.7,24,1,2,Intel Core Ultra 9 285K
2,16,4.5,8,1,5,AMD Ryzen 7 5700X
2,12,5.4,6,1,4,AMD Ryzen 5 7600X
1,12,4.4,6,2,3,Intel Core i5-11400
2,32,5.6,16,1,4,AMD Ryzen 9 9950X
1,8,4.2,4,2,1,Intel Core i3-12100
2,32,5.6,16,1,4,AMD Ryzen 9 9950X
2,16,4.7,8,1,5,AMD Ryzen 7 5700X
2,12,5.2,6,1,4,AMD Ryzen 5 7600X
1,24,5.7,24,1,2,Intel Core Ultra 9 285K
2,16,4.6,8,1,5,AMD Ryzen 7 5700X
2,16,4.7,8,1,5,AMD Ryzen 7 5700X
2,32,5.0,16,1,5,AMD Ryzen 9 5950X
2,12,4.4,6,1,5,AMD Ryzen 5 5600
2,16,4.7,8,1,5,AMD Ryzen 7 5700X
2,24,5.6,12,1,4,AMD Ryzen 9 7900X
